id;estado;fc;fm;fecha;codigo;cliente;tipo_envio;numini;numfin;totenvio;entregado;uc_id;um_id;fpago
395;1;7/02/2022 00:00;29/08/2022;7/02/2022 00:00;XCO-159;REALMEN S,A.;GUIA MADRE;859601;859650;50;1;;;POR COBRAR
396;1;7/02/2022 00:00;29/08/2022;7/02/2022 00:00;XCO-714;WORLD OF THE FASHION /// LOVE DELUXE;GUIA MADRE;859701;859900;200;0;;;CONTRA ENTREGA
397;1;7/02/2022 00:00;29/08/2022;7/02/2022 00:00;GUA-766;CELASA, INGENIERIA Y EQUIPOS, S.A.;GUIA MADRE;859901;860000;100;1;;;CREDITO
398;1;7/02/2022 00:00;29/08/2022;7/02/2022 00:00;XCO-828;PEDRO BARCO;GUIA MADRE;860001;860050;50;1;;;POR COBRAR
399;1;8/02/2022 00:00;29/08/2022;8/02/2022 00:00;GUA-269;MOTOREPUESTOS GP;GUIA MADRE;860151;860200;50;1;;;CREDITO
400;1;8/02/2022 00:00;29/08/2022;8/02/2022 00:00;XCO-268;MOTOREPUESTOS GP;GUIA MADRE;860201;860250;50;0;;;COMPARTIDO
401;1;8/02/2022 00:00;29/08/2022;8/02/2022 00:00;XCO-691;INCOVA;GUIA MADRE;860251;860350;100;1;;;POR COBRAR
402;1;8/02/2022 00:00;29/08/2022;8/02/2022 00:00;GUA-41;PRODUCCIONES METTA INTERNACIONAL S,A.;GUIA MADRE;860351;860450;100;1;;;CREDITO
403;1;8/02/2022 00:00;29/08/2022;8/02/2022 00:00;XCO-719;LA CASA DE LOS HILOS;GUIA MADRE;860451;860550;100;1;;;POR COBRAR
404;1;8/02/2022 00:00;29/08/2022;8/02/2022 00:00;GUA-19;MARKETING ARM GUATEMALA S,A.;GUIA MADRE;860551;860750;200;1;;;CREDITO
405;1;8/02/2022 00:00;29/08/2022;8/02/2022 00:00;XCO-253;IMPORTADORA NORTE;GUIA MADRE;860751;860850;100;1;;;POR COBRAR
406;1;8/02/2022 00:00;29/08/2022;8/02/2022 00:00;CON-788;IMPORTADORA NORTE, S.A.;GUIA MADRE;860851;860900;50;1;;;CONTADO
407;1;8/02/2022 00:00;29/08/2022;8/02/2022 00:00;XCO-427;DISTRIBUIDORA INDUSTRIAL AG;GUIA MADRE;860901;861050;150;1;;;CONTRA ENTREGA
408;1;8/02/2022 00:00;29/08/2022;8/02/2022 00:00;CON-919;KENAS STORE;GUIA MADRE;861051;861075;25;1;;;CONTADO
409;1;8/02/2022 00:00;29/08/2022;8/02/2022 00:00;PRE-635;LIBROS RESTAURACION;GUIA MADRE;861076;861100;25;0;;;PREPAGO
410;1;9/02/2022 00:00;29/08/2022;9/02/2022 00:00;V03-1051;GRUPO MAS VISION;GUIA MADRE;861101;861150;50;1;;;CREDITO
411;1;9/02/2022 00:00;29/08/2022;9/02/2022 00:00;V03-1351;GRUPO MAS VISION;GUIA MADRE;861151;861200;50;0;;;CREDITO
412;1;9/02/2022 00:00;29/08/2022;9/02/2022 00:00;V03-1051;GRUPO MAS VISION;GUIA MADRE;861201;861250;50;1;;;CREDITO
413;1;9/02/2022 00:00;29/08/2022;9/02/2022 00:00;GUA-8;ALDOS DE ITALIA S,A.;GUIA MADRE;861251;861300;50;1;;;CREDITO
414;1;9/02/2022 00:00;29/08/2022;9/02/2022 00:00;XCO-417;SPLASS GUATEMALA S,A.;GUIA MADRE;861301;861350;50;1;;;POR COBRAR
415;1;9/02/2022 00:00;29/08/2022;9/02/2022 00:00;XCO-301;VENTAS Y NEGOCIOS WENDOLI;GUIA MADRE;861351;861400;50;1;;;POR COBRAR
